Artist,Song,track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
Kenny G,My Favorite Things,567gpaiqe8cvcZdFVET9uE,0.555,0.441,5.0,-11.079,0.0,0.0359,0.0986,0.206,0.107,0.39,84.097,audio_features,spotify:track:567gpaiqe8cvcZdFVET9uE,https://api.spotify.com/v1/tracks/567gpaiqe8cvcZdFVET9uE,https://api.spotify.com/v1/audio-analysis/567gpaiqe8cvcZdFVET9uE,196733.0,3.0
Danzig,Mother,7txxAtOMwLLnQTpKeBL6bp,0.365,0.763,11.0,-9.45,0.0,0.0591,0.00726,0.000457,0.0865,0.342,148.366,audio_features,spotify:track:7txxAtOMwLLnQTpKeBL6bp,https://api.spotify.com/v1/tracks/7txxAtOMwLLnQTpKeBL6bp,https://api.spotify.com/v1/audio-analysis/7txxAtOMwLLnQTpKeBL6bp,204867.0,4.0
Reel Big Fish,Everyone Else Is An Asshole,7vPLB09s3XNhIM5S5wF1Si,0.62,0.975,4.0,-2.507,1.0,0.0868,0.0278,0.0,0.109,0.751,123.476,audio_features,spotify:track:7vPLB09s3XNhIM5S5wF1Si,https://api.spotify.com/v1/tracks/7vPLB09s3XNhIM5S5wF1Si,https://api.spotify.com/v1/audio-analysis/7vPLB09s3XNhIM5S5wF1Si,251093.0,4.0
Outasight,Tonight Is the Night,0tr0D36L1RwPdUTFfyNq37,0.625,0.786,7.0,-3.814,1.0,0.0465,0.0343,1.05e-06,0.202,0.537,119.982,audio_features,spotify:track:0tr0D36L1RwPdUTFfyNq37,https://api.spotify.com/v1/tracks/0tr0D36L1RwPdUTFfyNq37,https://api.spotify.com/v1/audio-analysis/0tr0D36L1RwPdUTFfyNq37,190000.0,4.0
Limp Bizkit,Behind Blue Eyes,24NAvbfmN5qcf6nVXpiJbc,0.591,0.497,7.0,-6.654,1.0,0.0264,0.497,0.0,0.124,0.0983,120.33,audio_features,spotify:track:24NAvbfmN5qcf6nVXpiJbc,https://api.spotify.com/v1/tracks/24NAvbfmN5qcf6nVXpiJbc,https://api.spotify.com/v1/audio-analysis/24NAvbfmN5qcf6nVXpiJbc,269973.0,4.0
Nine Inch Nails,Hurt (Quiet),4XsF4DoULvJ5gn7qt9JvLV,0.655,0.221,11.0,-12.002,0.0,0.0357,0.594,0.000817,0.117,0.0744,80.024,audio_features,spotify:track:4XsF4DoULvJ5gn7qt9JvLV,https://api.spotify.com/v1/tracks/4XsF4DoULvJ5gn7qt9JvLV,https://api.spotify.com/v1/audio-analysis/4XsF4DoULvJ5gn7qt9JvLV,308493.0,4.0
Disturbed,Criminal,4bY2SbmhtGWyQLlBP9ZH4W,0.529,0.984,1.0,-3.998,1.0,0.0559,0.000255,0.0445,0.0936,0.696,104.003,audio_features,spotify:track:4bY2SbmhtGWyQLlBP9ZH4W,https://api.spotify.com/v1/tracks/4bY2SbmhtGWyQLlBP9ZH4W,https://api.spotify.com/v1/audio-analysis/4bY2SbmhtGWyQLlBP9ZH4W,255933.0,4.0
Stone Sour,Through Glass,76aadnUFFANRNDs6L3aqxw,0.545,0.753,3.0,-4.618,0.0,0.036,0.0417,0.0,0.389,0.434,105.754,audio_features,spotify:track:76aadnUFFANRNDs6L3aqxw,https://api.spotify.com/v1/tracks/76aadnUFFANRNDs6L3aqxw,https://api.spotify.com/v1/audio-analysis/76aadnUFFANRNDs6L3aqxw,282947.0,4.0
Matchbox Twenty,She's so Mean,4a5cwZZc57KyccBxFS2yjV,0.671,0.868,0.0,-3.7,1.0,0.0377,0.0137,1.17e-06,0.19,0.674,118.015,audio_features,spotify:track:4a5cwZZc57KyccBxFS2yjV,https://api.spotify.com/v1/tracks/4a5cwZZc57KyccBxFS2yjV,https://api.spotify.com/v1/audio-analysis/4a5cwZZc57KyccBxFS2yjV,230608.0,4.0
Flyleaf,Cassie,1640EvJmOr0kiryFyjPb0o,0.387,0.966,2.0,-4.316,1.0,0.366,0.00173,0.0,0.516,0.344,167.938,audio_features,spotify:track:1640EvJmOr0kiryFyjPb0o,https://api.spotify.com/v1/tracks/1640EvJmOr0kiryFyjPb0o,https://api.spotify.com/v1/audio-analysis/1640EvJmOr0kiryFyjPb0o,177933.0,4.0
Paramore,Misery Business,6SpLc7EXZIPpy0sVko0aoU,0.517,0.906,1.0,-3.677,1.0,0.0735,0.00272,9.26e-06,0.113,0.731,172.977,audio_features,spotify:track:6SpLc7EXZIPpy0sVko0aoU,https://api.spotify.com/v1/tracks/6SpLc7EXZIPpy0sVko0aoU,https://api.spotify.com/v1/audio-analysis/6SpLc7EXZIPpy0sVko0aoU,211520.0,4.0
Fall Out Boy,"Dance, Dance",4GKQVC6SImVOlYabUNLBtD,0.63,0.966,11.0,-2.879,0.0,0.134,0.00474,0.0,0.0354,0.5,114.454,audio_features,spotify:track:4GKQVC6SImVOlYabUNLBtD,https://api.spotify.com/v1/tracks/4GKQVC6SImVOlYabUNLBtD,https://api.spotify.com/v1/audio-analysis/4GKQVC6SImVOlYabUNLBtD,181440.0,4.0
No Doubt,Underneath It All,6wFemJ1Oh4gnTalNKgtvBg,0.73,0.738,4.0,-4.583,1.0,0.0736,0.222,0.0,0.391,0.867,138.208,audio_features,spotify:track:6wFemJ1Oh4gnTalNKgtvBg,https://api.spotify.com/v1/tracks/6wFemJ1Oh4gnTalNKgtvBg,https://api.spotify.com/v1/audio-analysis/6wFemJ1Oh4gnTalNKgtvBg,302040.0,4.0
No Doubt,It's My Life,2fOxxLz9JVe53itq6pfBak,0.606,0.75,8.0,-4.535,0.0,0.0306,0.00264,0.000788,0.321,0.771,126.316,audio_features,spotify:track:2fOxxLz9JVe53itq6pfBak,https://api.spotify.com/v1/tracks/2fOxxLz9JVe53itq6pfBak,https://api.spotify.com/v1/audio-analysis/2fOxxLz9JVe53itq6pfBak,225867.0,4.0
Red Hot Chili Peppers,Can't Stop,5Ai5b7rU7tTI5OqVbEUPEq,0.618,0.938,9.0,-3.442,1.0,0.0456,0.0179,0.0,0.167,0.875,91.455,audio_features,spotify:track:5Ai5b7rU7tTI5OqVbEUPEq,https://api.spotify.com/v1/tracks/5Ai5b7rU7tTI5OqVbEUPEq,https://api.spotify.com/v1/audio-analysis/5Ai5b7rU7tTI5OqVbEUPEq,269000.0,4.0
